imre,dtype,time,mlp_tk,attn_tk,mlp_rk,mlp_mbm,attn_full_step_every,attn_full_step_schedule,attn_local_voxels,attn_local_1d_window,attn_recompute_mask,mlp_full_step_every,mlp_block_mask_cache,step_caching
75.76984418992659,bf16,4.91,0.3,0.3,0.05,128,20,,0,0,False,20,1,False
53.081472091900636,bf16,2.503,0.3,0.1,0.05,16,10,,0,0,False,10,3,True
76.62696486156159,bf16,4.695,0.3,0.165,0.05,16,10,,0,0,False,20,2,False
78.7951525987591,bf16,4.627,0.3,0.1,0.05,128,10,,0,0,True,20,2,False
66.98666238326408,bf16,2.693,0.3,0.3,0.05,16,10,,0,0,True,10,2,True
63.26114789932033,bf16,2.505,0.3,0.165,0.05,16,10,,0,0,False,20,1,True
44.724620533990674,bf16,2.458,0.3,0.1,0.05,128,20,,0,0,False,10,2,True
79.12949091973864,bf16,4.861,0.3,0.165,0.05,128,10,,0,0,False,10,1,False
61.04649516136851,bf16,2.533,0.3,0.165,0.05,16,10,,0,0,False,10,3,True
58.18565730050611,bf16,2.446,0.3,0.1,0.05,16,10,,0,0,True,20,3,True
49.58337207615844,bf16,2.378,0.3,0.165,0.05,128,20,,0,0,False,20,3,True
71.45001075919572,bf16,4.665,0.3,0.165,0.05,16,10,,0,0,False,20,3,False
66.5933455298655,bf16,2.426,0.3,0.165,0.05,128,20,,0,0,True,20,1,True
70.36409376602384,bf16,4.583,0.3,0.1,0.05,128,10,,0,0,False,20,3,False
38.94097789924126,bf16,2.369,0.3,0.1,0.05,16,20,,0,0,False,20,3,True
52.98594053299169,bf16,2.451,0.3,0.1,0.05,128,20,,0,0,True,10,3,True
73.81062543427103,bf16,4.965,0.3,0.3,0.05,128,10,,0,0,False,10,2,False
50.69506740930958,bf16,2.494,0.3,0.1,0.05,16,20,,0,0,True,10,2,True
56.52123168879185,bf16,2.388,0.3,0.165,0.05,128,20,,0,0,False,20,2,True
67.25500189943702,bf16,4.676,0.3,0.1,0.05,16,20,,0,0,False,20,1,False
65.10704313335012,bf16,2.415,0.3,0.165,0.05,128,20,,0,0,False,20,1,True
74.55307659934627,bf16,4.813,0.3,0.3,0.05,128,20,,0,0,False,20,2,False
81.534182807547,bf16,4.757,0.3,0.165,0.05,16,20,,0,0,True,20,1,False
62.67294962471354,bf16,2.487,0.3,0.3,0.05,128,20,,0,0,False,20,2,True
68.76367809856309,bf16,2.59,0.3,0.165,0.05,16,10,,0,0,True,10,2,True
63.80844753910788,bf16,2.442,0.3,0.1,0.05,128,10,,0,0,True,20,2,True
73.02877035061834,bf16,4.828,0.3,0.3,0.05,16,20,,0,0,True,20,3,False
80.48205187718852,bf16,4.748,0.3,0.1,0.05,16,10,,0,0,True,10,2,False
76.6657516836967,bf16,4.91,0.3,0.3,0.05,128,20,,0,0,False,10,2,False
81.65981548203499,bf16,4.841,0.3,0.165,0.05,16,10,,0,0,True,20,1,False
65.59334705187938,bf16,2.626,0.3,0.3,0.05,16,10,,0,0,False,10,3,True
75.89952444098881,bf16,4.914,0.3,0.3,0.05,16,20,,0,0,True,10,3,False
52.301232629499324,bf16,2.537,0.3,0.1,0.05,16,10,,0,0,False,10,2,True
80.68552898656345,bf16,4.826,0.3,0.1,0.05,128,10,,0,0,True,10,1,False
80.02874050289387,bf16,4.693,0.3,0.165,0.05,128,10,,0,0,True,20,2,False
74.90911249906638,bf16,4.69,0.3,0.165,0.05,128,20,,0,0,False,10,3,False
65.05436022134379,bf16,2.663,0.3,0.3,0.05,16,10,,0,0,False,10,2,True
56.63229317893271,bf16,2.489,0.3,0.3,0.05,128,20,,0,0,True,20,3,True
67.60684785918414,bf16,2.523,0.3,0.1,0.05,16,10,,0,0,True,10,3,True
72.04065882408752,bf16,4.61,0.3,0.165,0.05,128,20,,0,0,True,20,3,False
71.1945616921875,bf16,2.679,0.3,0.3,0.05,16,10,,0,0,False,10,1,True
70.60595330996158,bf16,4.897,0.3,0.3,0.05,16,10,,0,0,True,20,3,False
59.6271446886822,bf16,2.395,0.3,0.1,0.05,128,20,,0,0,True,20,1,True
75.90155189600777,bf16,4.981,0.3,0.3,0.05,16,10,,0,0,False,10,2,False
75.28290377455416,bf16,4.978,0.3,0.3,0.05,128,10,,0,0,False,20,1,False
74.1519492121879,bf16,4.637,0.3,0.1,0.05,128,20,,0,0,True,10,3,False
74.00089201483205,bf16,4.694,0.3,0.165,0.05,16,10,,0,0,True,20,3,False
68.29471844201916,bf16,2.533,0.3,0.1,0.05,128,10,,0,0,True,10,2,True
73.63517683849203,bf16,4.563,0.3,0.1,0.05,128,20,,0,0,True,20,2,False
68.61425954199508,bf16,2.6,0.3,0.3,0.05,16,10,,0,0,False,20,1,True
59.92286788372439,bf16,2.466,0.3,0.1,0.05,128,20,,0,0,True,10,1,True
76.63246274623091,bf16,4.859,0.3,0.3,0.05,16,20,,0,0,True,20,2,False
70.85471436646183,bf16,2.536,0.3,0.165,0.05,128,10,,0,0,True,10,3,True
78.33085604850204,bf16,4.687,0.3,0.1,0.05,16,20,,0,0,True,20,1,False
56.655810487369315,bf16,2.432,0.3,0.1,0.05,16,20,,0,0,True,20,1,True
67.40688711451368,bf16,4.664,0.3,0.1,0.05,16,20,,0,0,False,10,2,False
75.58757798420255,bf16,2.543,0.3,0.1,0.05,128,10,,0,0,True,10,1,True
74.76673304988076,bf16,2.594,0.3,0.3,0.05,128,20,,0,0,True,10,1,True
66.81429331854449,bf16,2.602,0.3,0.3,0.05,16,20,,0,0,True,10,3,True
